连接线名称,回路号,起点位置,起点模块,起点孔位,终点位置,终点模块,终点孔位,连接线颜色,RAA3-14K024-AA,RAA3-14K024-BA,RAA3-14K024-CA,RAA3-14K024-DA,SAA1-14K024-AA,SAA1-14K024-BA,SAA1-14K024-CA,SAA1-14K024-DA,SAA1-14K024-EA,SAA1-14K024-FA
FLRY-B,TDUC01A,,室内温度传感器,1,,接前舱线束右1,8,白红,X,X,X,X,X,X,X,X,X,X
FLRY-B,ACA27,,室内温度传感器,2,,接前舱线束右1,15,黄黑,,,,,X,X,X,X,X,X
FLRY-B,TDUA02B,,室内温度传感器,2,,接前舱线束右1,26,黑,X,X,X,X,,,,,,
FLRY-B,TDUC28A,,室内温度传感器,3,,接前舱线束右1,9,白,X,X,X,X,X,X,X,X,X,X
FLRY-B,ACA21D,,室内温度传感器,4,,接前舱线束右1,16,黑,,,,,X,X,X,X,X,X
FLRY-B,LBQ03H,,仪表台电动出风口8,1,,SP743,H,白,X,X,X,X,X,X,X,X,X,X
FLRY-B,J4-10,,右前门高音扬声器,1,,接车身线束右,43,黑,X,X,X,X,X,X,,X,X,
FLRY-B,J4-9,,右前门高音扬声器,2,,接车身线束右,44,白,X,X,X,X,X,X,,X,X,
FLRY-B,ZCUL210C,,智能旋钮,1,,接机舱线束左,47,蓝绿,X,X,X,X,X,X,X,X,X,X
FLRY-B,J3-6,,中置高音扬声器,1,,接车身线束左,8,绿,X,X,X,X,X,X,,X,X,
FLRY-B,J3-5,,中置高音扬声器,2,,接车身线束左,9,白,X,X,X,X,X,X,,X,X,
FLRY-B,J3-7,,中置中音扬声器,1,,接车身线束右,47,绿,X,X,X,X,X,X,,X,X,
FLRY-B,J3-8,,中置中音扬声器,2,,接车身线束右,48,白,X,X,X,X,X,X,,X,X,
FLRY-B,TDUC13,,主驾吹面出风温度传感器,1,,接前舱线束右1,2,橙,X,X,X,X,,,,,,
FLRY-B,ZCUL229,,组合开关2,7,,接机舱线束左,5,白,X,X,X,X,X,X,X,X,X,X
FLRY-B,IC02,,组合仪表,2,,CDC主机,B_4,白,X,X,X,X,X,X,X,X,X,X
FLRY-B,IC03,,组合仪表,3,,CDC主机,C_5,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,J4-12,,左前门高音扬声器,1,,接车身线束左,56,橙,X,X,X,X,X,X,,X,X,
FLRY-B,J4-11,,左前门高音扬声器,2,,接车身线束左,57,灰,X,X,X,X,X,X,,X,X,
FLRY-B,GD24R01F,,GD24R,1,,方向盘加热,1,黑,X,X,X,X,X,X,,X,X,
FLRY-B,GD24R01F,,GD24R,1,,前排快充USB,1,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,GD24R01F,,GD24R,1,,电动风口滤波器,2,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,GD24R01F,,GD24R,1,,仪表氛围灯左3,4,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,ACA15K,,接车身线束右,18,,仪表台电动出风口1,2,蓝,X,X,X,X,X,X,X,X,X,X
FLRY-B,ACA15K,,接车身线束右,18,,仪表台电动出风口2,2,蓝,X,X,X,X,X,X,X,X,X,X
FLRY-B,ACA15K,,接车身线束右,18,,仪表台电动出风口3,2,蓝,X,X,X,X,X,X,X,X,X,X
FLRY-B,ACA15K,,接车身线束右,18,,仪表台电动出风口4,2,蓝,X,X,X,X,X,X,X,X,X,X
FLRY-B,ACA15K,,接车身线束右,18,,仪表台电动出风口5,2,蓝,X,X,X,X,X,X,X,X,X,X
FLRY-B,ACA15K,,接车身线束右,18,,仪表台电动出风口6,2,蓝,X,X,X,X,X,X,X,X,X,X
FLRY-B,ACA15K,,接车身线束右,18,,接前舱线束右1,19,蓝,X,X,X,X,X,X,X,X,X,X
FLRY-B,ACA15K,,接车身线束右,18,,仪表台电动出风口7,2,蓝,X,X,X,X,X,X,X,X,X,X
FLRY-B,ACA15K,,接车身线束右,18,,仪表台电动出风口8,2,蓝,X,X,X,X,X,X,X,X,X,X
FLRY-B,APAFLS1DA,,接前舱线束右1,12,,CDC集成APA,5,绿,,X,,X,,X,,,X,
FLRY-B,APAFLS1DA,,接前舱线束右1,12,,接车身线束右,24,绿,,X,,X,,X,,,X,
FLRY-B,APAFLS3DA,,CDC集成APA,6,,接前舱线束右1,13,白,,X,,X,,X,,,X,
FLRY-B,APAFLS3DA,,CDC集成APA,6,,接车身线束右,45,白,,X,,X,,X,,,X,
FLRY-B,BELCANH10,,蓝牙主模块,3,,接前舱线束右1,10,粉,X,X,X,X,X,X,X,X,X,X
FLRY-B,BELCANL10,,蓝牙主模块,4,,接前舱线束右1,11,橙,X,X,X,X,X,X,X,X,X,X
FLRY-B,BELCANH10,,蓝牙主模块,3,,接副仪表线束跳线,5,粉,X,X,X,X,X,X,,X,X,
FLRY-B,BELCANL10,,蓝牙主模块,4,,接副仪表线束跳线,6,橙,X,X,X,X,X,X,,X,X,
FLRY-B,BELCANH10,,蓝牙主模块,3,,接车身线束左,38,粉,X,X,X,X,X,X,X,X,X,X
FLRY-B,BELCANL10,,蓝牙主模块,4,,接车身线束左,39,橙,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCANL10,,CDC主机,B_6,,接机舱线束左,38,蓝,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCANH10,,CDC主机,B_12,,接机舱线束左,39,黄,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCANL10,,CDC主机,B_6,,接车身线束右,12,蓝,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCANH10,,CDC主机,B_12,,接车身线束右,13,黄,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCUB34,,接车身线束左,12,,OBD1,7,绿红,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCUB34,,接车身线束左,12,,CCU2,34,绿红,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCUB34,,接车身线束左,12,,接机舱线束左,45,绿红,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCUB35,,CCU2,35,,接车身线束左,16,蓝绿,X,X,X,X,X,X,X,X,X,X
FLRY-B,CCUB35,,CCU2,35,,OBD1,15,蓝绿,X,X,X,X,X,X,X,X,X,X
FLRY-B,CDC1708,,接前舱线束右1,20,,接车身线束右,19,粉,,X,,X,,X,,,X,
FLRY-B,CDC1708,,接前舱线束右1,20,,CDC集成APA,8,粉,,X,,X,,X,,,X,
FLRY-B,CDC1709,,CDC集成APA,9,,接前舱线束右1,21,绿黑,,X,,X,,X,,,X,
FLRY-B,CDC1709,,CDC集成APA,9,,接车身线束右,21,绿黑,,X,,X,,X,,,X,
FLRY-B,CDC1710,,CDC集成APA,10,,接前舱线束右1,22,白,,X,,X,,X,,,X,
FLRY-B,CDC1710,,CDC集成APA,10,,接车身线束右,22,白,,X,,X,,X,,,X,
FLRY-B,CDCANH01,,CDC主机,B_5,,接车身线束右,16,棕,X,X,X,X,X,X,X,X,X,X
FLRY-B,CDCANL01,,CDC主机,B_11,,接车身线束右,17,蓝白,X,X,X,X,X,X,X,X,X,X
FLRY-B,CDCANH01,,CDC主机,B_5,,智能旋钮,3,棕,X,X,X,X,X,X,X,X,X,X
FLRY-B,CDCANL01,,CDC主机,B_11,,智能旋钮,4,蓝白,X,X,X,X,X,X,X,X,X,X
FLRY-B,CDCANH01,,CDC主机,B_5,,HUD,3,棕,X,,,X,X,,,,X,X
FLRY-B,CDCANL01,,CDC主机,B_11,,HUD,4,蓝白,X,,,X,X,,,,X,X
FLRY-B,GD22L02,,仪表氛围灯左1,4,,GD22L01C,1,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,GD22L02,,仪表氛围灯左1,4,,仪表氛围灯左2,4,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,GD22L05,,ESCL,1,,方向盘开关,6,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,GD22L05,,ESCL,1,,GD22L07,1,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,GD24L01,,GD24L,1,,OBD1,4,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,GD24L01,,GD24L,1,,OBD1,5,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,GD24L01,,GD24L,1,,接副仪表线束跳线,20,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,GD24L01,,GD24L,1,,智能旋钮,10,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,GD24L01,,GD24L,1,,蓝牙主模块,8,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,GD25L07,,仪表氛围灯右1,4,,负离子发生器,1,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,GD25L07,,仪表氛围灯右1,4,,GD25L01,1,黑,X,,X,,X,,,X,,
FLRY-B,GD25L07,,仪表氛围灯右1,4,,仪表氛围灯右2,4,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,GD25L07,,仪表氛围灯右1,4,,仪表氛围灯右3,4,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,GD25L07,,仪表氛围灯右1,4,,GD25L02,1,黑,,X,,X,,X,X,,X,X
FLRY-B,GD25L07,,仪表氛围灯右1,4,,J-BOX,22,黑,,X,,X,,X,X,,X,X
FLRY-B,GD25L07,,仪表氛围灯右1,4,,V-BOX,22,黑,X,,X,,X,,,X,,
FLRY-B,GDDMT01,,CDC主机,A_18,,CDC主机,A_14,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,GDDMT01,,CDC主机,A_18,,CDC主机,A_12,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,GDDMT01,,CDC主机,A_18,,CDC主机,B_2,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,GDDMT01,,CDC主机,A_18,,CDC主机,B_9,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,GDDMT01,,CDC主机,A_18,,GD23,1,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,GDDMT01,,CDC主机,A_18,,CDC集成APA,11,黑,,X,,X,,X,,,X,
FLRY-B,GDDMT01,,CDC主机,A_18,,CDC集成APA,23,黑,,X,,X,,X,,,X,
FLRY-B,GDDMT01,,CDC主机,A_18,,组合仪表,4,黑,X,X,X,X,X,X,X,X,X,X
FLRY-B,GDDMT01,,CDC主机,A_18,,HUD,1,黑,X,,,X,X,,,,X,X
FLRY-B,LDCANH01,,CCU2,17,,蓝牙主模块,6,棕,X,X,X,X,X,X,X,X,X,X
FLRY-B,LDCANL01,,CCU2,18,,蓝牙主模块,7,绿橙,X,X,X,X,X,X,X,X,X,X
FLRY-B,LDCANH01,,CCU2,17,,接副仪表线束跳线,17,棕,X,X,X,X,X,X,X,X,X,X
FLRY-B,LDCANL01,,CCU2,18,,接副仪表线束跳线,16,绿橙,X,X,X,X,X,X,X,X,X,X
FLRY-B,LDCANH01,,CCU2,17,,接车身线束右,27,棕,X,X,X,X,X,X,X,X,X,X
FLRY-B,LDCANL01,,CCU2,18,,接车身线束右,28,绿橙,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL302D,,CCU2,24,,ZCUL03,2,白,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL302D,,CCU2,24,,接机舱线束左,31,黄,X,X,X,X,X,X,X,X,X,X
FLRY-B,ZCUL302D,,CCU2,24,,接车身线束右,23,绿,X,X,X,X,X,X,X,X,X,X
FLRY-B,XCPCANH03C,,接车身线束左,40,,CCU2,13,黄,X,X,X,X,X,X,X,X,X,X
FLRY-B,XCPCANH03C,,接车身线束左,40,,接机舱线束左,26,黄,X,X,X,X,X,X,X,X,X,X
FLRY-B,XCPCANL03C,,接车身线束左,41,,CCU2,1,绿,X,X,X,X,X,X,X,X,X,X
FLRY-B,XCPCANL03C,,接车身线束左,41,,接机舱线束左,27,绿,X,X,X,X,X,X,X,X,X,X
FLRY-B,CDC1707B,,接前舱线束右1,14,,接车身线束右,46,蓝,,X,,X,,X,,,X,
